incident_id,category,status,satisfaction,clinic_region,reported_at,summary
INC-0001,experiencia_paciente,cerrado,2,US-FL,2026-07-02,incidencia_operativa_001
INC-0002,facturacion,descartado,,US-GA,2026-07-03,incidencia_operativa_002
INC-0003,cumplimiento_datos,abierto,,UK-LON,2026-07-04,incidencia_operativa_003
INC-0004,rrhh,cerrado,5,US-TX,2026-07-05,incidencia_operativa_004
INC-0005,tecnologia,descartado,,US-FL,2026-07-06,incidencia_operativa_005
INC-0006,direccion_ejecutiva,abierto,,US-GA,2026-07-07,incidencia_operativa_006
INC-0007,operaciones_clinicas,cerrado,3,UK-LON,2026-07-08,incidencia_operativa_007
INC-0008,experiencia_paciente,descartado,,US-TX,2026-07-09,incidencia_operativa_008
INC-0009,facturacion,abierto,,US-FL,2026-07-10,incidencia_operativa_009
INC-0010,cumplimiento_datos,cerrado,1,US-GA,2026-07-11,incidencia_operativa_010
INC-0011,rrhh,descartado,,UK-LON,2026-07-12,incidencia_operativa_011
INC-0012,tecnologia,abierto,,US-TX,2026-07-13,incidencia_operativa_012
INC-0013,direccion_ejecutiva,cerrado,4,US-FL,2026-07-14,incidencia_operativa_013
INC-0014,operaciones_clinicas,descartado,,US-GA,2026-07-15,incidencia_operativa_014
INC-0015,experiencia_paciente,abierto,,UK-LON,2026-07-16,incidencia_operativa_015
INC-0016,facturacion,cerrado,2,US-TX,2026-07-17,incidencia_operativa_016
INC-0017,cumplimiento_datos,descartado,,US-FL,2026-07-18,incidencia_operativa_017
INC-0018,rrhh,abierto,,US-GA,2026-07-19,incidencia_operativa_018
INC-0019,tecnologia,cerrado,5,UK-LON,2026-07-20,incidencia_operativa_019
INC-0020,direccion_ejecutiva,descartado,,US-TX,2026-07-21,incidencia_operativa_020
INC-0021,operaciones_clinicas,abierto,,US-FL,2026-07-22,incidencia_operativa_021
INC-0022,experiencia_paciente,cerrado,3,US-GA,2026-07-23,incidencia_operativa_022
INC-0023,facturacion,descartado,,UK-LON,2026-07-24,incidencia_operativa_023
INC-0024,cumplimiento_datos,abierto,,US-TX,2026-07-25,incidencia_operativa_024
INC-0025,rrhh,cerrado,1,US-FL,2026-07-26,incidencia_operativa_025
INC-0026,tecnologia,descartado,,US-GA,2026-07-27,incidencia_operativa_026
INC-0027,direccion_ejecutiva,abierto,,UK-LON,2026-07-28,incidencia_operativa_027
INC-0028,operaciones_clinicas,cerrado,4,US-TX,2026-07-01,incidencia_operativa_028
INC-0029,experiencia_paciente,descartado,,US-FL,2026-07-02,incidencia_operativa_029
INC-0030,facturacion,abierto,,US-GA,2026-07-03,incidencia_operativa_030
INC-0031,cumplimiento_datos,cerrado,2,UK-LON,2026-07-04,incidencia_operativa_031
INC-0032,rrhh,descartado,,US-TX,2026-07-05,incidencia_operativa_032
INC-0033,tecnologia,abierto,,US-FL,2026-07-06,incidencia_operativa_033
INC-0034,direccion_ejecutiva,cerrado,5,US-GA,2026-07-07,incidencia_operativa_034
INC-0035,operaciones_clinicas,descartado,,UK-LON,2026-07-08,incidencia_operativa_035
INC-0036,experiencia_paciente,abierto,,US-TX,2026-07-09,incidencia_operativa_036
INC-0037,facturacion,cerrado,3,US-FL,2026-07-10,incidencia_operativa_037
INC-0038,cumplimiento_datos,descartado,,US-GA,2026-07-11,incidencia_operativa_038
INC-0039,rrhh,abierto,,UK-LON,2026-07-12,incidencia_operativa_039
INC-0040,tecnologia,cerrado,1,US-TX,2026-07-13,incidencia_operativa_040
INC-0041,direccion_ejecutiva,descartado,,US-FL,2026-07-14,incidencia_operativa_041
INC-0042,operaciones_clinicas,abierto,,US-GA,2026-07-15,incidencia_operativa_042
INC-0043,experiencia_paciente,cerrado,4,UK-LON,2026-07-16,incidencia_operativa_043
INC-0044,facturacion,descartado,,US-TX,2026-07-17,incidencia_operativa_044
INC-0045,cumplimiento_datos,abierto,,US-FL,2026-07-18,incidencia_operativa_045
INC-0046,rrhh,cerrado,2,US-GA,2026-07-19,incidencia_operativa_046
INC-0047,tecnologia,descartado,,UK-LON,2026-07-20,incidencia_operativa_047
INC-0048,direccion_ejecutiva,abierto,,US-TX,2026-07-21,incidencia_operativa_048
INC-0049,operaciones_clinicas,cerrado,5,US-FL,2026-07-22,incidencia_operativa_049
INC-0050,experiencia_paciente,descartado,,US-GA,2026-07-23,incidencia_operativa_050
INC-0051,facturacion,abierto,,UK-LON,2026-07-24,incidencia_operativa_051
INC-0052,cumplimiento_datos,cerrado,3,US-TX,2026-07-25,incidencia_operativa_052
